group	momID	plot	BORICE_FAM	BORICE_SUBPOP	nas_prop
CAC2022	601_mom01_pink	601	1	1	0.060976
CAC2022	601_mom05_black	601	2	1	0.0700643
CAC2022	601_mom08_orange	601	3	1	0.0833648
CAC2022	601_mom12_orange	601	4	1	0.0731417
CAC2022	601_mom19_black	601	5	1	0.0978301
CAC2022	601_mom20_seafoam	601	6	1	0.0765626
CAC2022	601_mom21_red-lavendar	601	7	1	0.078291
CAC2022	601_mom22_pink	601	8	1	0.0829053
CAC2022	602_mom10_pink	602	9	1	0.996718
CAC2022	602_mom17_pink	602	10	1	0.996417
CAC2022	603_mom01_pink	603	11	1	0.0182016
CAC2022	603_mom04_blue	603	12	1	0.0836894
CAC2022	603_mom07_black	603	13	1	0.0555677
CAC2022	603_mom08_lavendar	603	14	1	0.0913129
CAC2022	603_mom08_pink	603	15	1	0.0951306
CAC2022	603_mom09_pink	603	16	1	0.0892463
CAC2022	603_mom12_blue	603	17	1	3.08e-05
CAC2022	603_mom13_lavendar	603	18	1	0.0689599
CAC2022	603_mom16_black	603	19	1	0.0582903
CAC2022	604_mom05_pink	604	20	1	0.313666
CAC2022	604_mom05_white	604	21	1	0.99988
CAC2022	604_mom06_seafoam	604	22	1	0.157396
CAC2022	604_mom10_pink	604	23	1	0.365901
CAC2022	604_mom16_pink	604	24	1	0.307529
CAC2022	604_mom23_blue-gold	604	25	1	0.266812
CAC2022	604_mom23_pink	604	26	1	0.366344
CAC2022	605_mom16_white	605	27	1	0.328202
CAC2022	605_momA_pink	605	28	1	0.338779
CAC2022	605_momB_pink	605	29	1	0.302991
CAC2022	606_mom09_black	606	30	1	0.321509
CAC2022	606_mom13_pink	606	31	1	0.747951
CAC2022	606_mom14_lavendar	606	32	1	0.524528
CAC2022	606_mom14_white	606	33	1	0.466321
CAC2022	606_mom16_lavendar	606	34	1	0.376937
CAC2022	606_mom21_red	606	35	1	0.535737
CAC2022	607_mom03_black	607	36	1	0.100036
CAC2022	607_mom10_pink	607	37	1	0.149039
CAC2022	607_mom14_orange	607	38	1	0.0213991
CAC2022	607_mom14_white	607	39	1	0.075752
CAC2022	607_mom17_lavendar	607	40	1	0.143058
CAC2022	607_mom18_black	607	41	1	0.100986
CAC2022	608_mom01_white	608	42	1	0.29334
CAC2022	608_mom03_red	608	43	1	0.248065
CAC2022	608_mom05_gold	608	44	1	0.12299
CAC2022	608_mom13_orange	608	45	1	0.232849
CAC2022	608_mom13_pink	608	46	1	0.360219
CAC2022	608_mom16_white	608	47	1	0.0438475
CAC2022	608_mom21_lavendar	608	48	1	0.207501
CAC2022	608_mom21_pink	608	49	1	0.165652
CAC2022	608_mom24_blue	608	50	1	0.138629
CAC2022	608_mom24_white	608	51	1	0.164673
CAC2022	608_mom25_gold	608	52	1	0.151918
CAC2022	609_mom02_pink	609	53	1	0.173347
CAC2022	609_mom10_white	609	54	1	0.159555
CAC2022	609_mom13_seafoam	609	55	1	0.126279
CAC2022	609_mom17_pink	609	56	1	0.0919819
CAC2022	609_mom22_black-blue	609	57	1	0.178153
CAC2022	609_mom23_blue	609	58	1	0.148775
CAC2022	609_mom23_white	609	59	1	0.0902446
CAC2022	609_mom24_orange	609	60	1	0.127838
CAC2022	609_mom25_pink	609	61	1	0.07928
CAC2022	610_mom01_red	610	62	1	0.173758
CAC2022	610_mom05_pink	610	63	1	0.117198
CAC2022	610_mom14_lavendar	610	64	1	0.136086
CAC2022	610_mom14_pink	610	65	1	0.167838
CAC2022	611_mom14_pink	611	66	1	0.182949
CAC2022	611_mom22_seafoam	611	67	1	0.483637
CAC2022	612_mom02_pink	612	68	1	0.476511
CAC2022	612_mom22-15_seafoam-lavendar	612	69	1	0.153989
